"site","aspect","reef_env","reef_zone","dist2crest","bearing2crest","dist2land","bearing2land","Lat","Long","bearing2LI"
"Cooks Path","NW","bay","back reef",41.326931,217.538961,39.466418,38.224258,-14.658322,145.452334,131.861476056343
"Corner Beach","SW","deep lagoon","back reef",3.001131,36.869898,361.116072,15.145067,-14.675028,145.441885,71.6203134555342
"Easter Point","SE","outer","reef flat",15.733979,161.565051,56.345636,313.28859,-14.677319,145.475682,308.311729200923
"Gnarly Tree","NE","outer","reef flat",14.630481,68.195877,44.940691,236.925059,-14.655203,145.467862,197.91583914137
"Horseshoe","SW","lagoon","reef front",13.335874,139.398705,254.778855,159.849291,-14.687517,145.443914,44.3348004083164
"Lagoon 1","INNER","lagoon","reef flat",6.536351,140.437784,639.498217,353.98441,-14.686917,145.454859,24.0677524976686
"Lagoon 2","SW","lagoon","back reef",30.987938,44.826513,251.999564,321.4217,-14.697687,145.446896,28.5594063536651
"Lizard Head","SE","outer","reef flat",10.758249,130.601295,55.21665,283.725354,-14.686546,145.472182,335.731887189104
"Mermaid Cove","NW","bay","back reef",20.353185,318.778329,90.786047,126.887781,-14.645953,145.453964,157.206844287045
"No Mans Land","SE","outer","reef flat",13.844944,81.027373,82.255802,264.134535,-14.671142,145.478329,282.183467204556
"North of Paradise","NE","outer","reef flat",14.49516,77.361883,47.185349,258.404279,-14.661631,145.474991,239.821364447587
"North Reef","NE","outer","reef flat",11.288088,38.659808,105.150016,178.419821,-14.64538,145.454909,159.731220873192
"North 2","NE","outer","reef flat",8.676228,59.534455,121.692969,173.140921,-14.645238,145.454801,159.616328717573
"North 3","NW","bay","back reef",20.353185,318.778329,90.786047,126.887781,-14.645953,145.453964,157.206844287045
"Osprey","SW","bay","back reef",24.909296,195.642301,197.134621,90.393023,-14.668037,145.442852,90.0626663072327
"Resort","NW","bay","back reef",26.316368,82.504142,171.175337,128.527436,-14.66408,145.447471,104.33349738448
"South Island","SE","outer","reef flat",15.246826,114.904769,182.762,270.393962,-14.703997,145.460054,5.40048612862608
"Southeast","SE","outer","reef flat",21.208491,142.616341,870.649926,236.130383,-14.695957,145.463386,0.357611136144328
"Trimodal","SW","outer","reef flat",6.540069,250.346176,428.318736,328.953093,-14.699232,145.447474,26.5368493640774
"Turtle Beach","NW","bay","back reef",19.239976,331.254159,20.723627,148.637188,-14.652682,145.451383,142.529840326851
"Vickies","SW","deep lagoon","reef front",44.084024,229.972708,765.2707,145.718402,-14.684411,145.440032,54.3131761812712
"Washing Machine","NE","outer","reef flat",10.964355,40.914383,25.114342,224.604802,-14.648667,145.459789,169.328728898188
