"genus","Species","campaign","observer","site","transect","intercept_cm","family_molecules","new_label","GrowthForm","PlanarArea","BenthicType","ntrans","ntransadded","length","cover"
"Acanthastrea","Acanthastrea echinata",2017,"ahb","Washing Machine",2,6,"Lobophyllidae","Mussidae","Massive",2827.43338823081,"HardCoral",5,6,181,0.0301666666666667
"Acanthastrea","Acanthastrea echinata",2016,"jsm","Lagoon 1",1,20,"Lobophyllidae","Mussidae","Massive",31415.9265358979,"HardCoral",6,6,1175,0.195833333333333
"Acanthastrea","Acanthastrea echinata",2017,"ahb","No Mans Land",2,10,"Lobophyllidae","Mussidae","Massive",7853.98163397448,"HardCoral",6,6,179,0.0298333333333333
"Acanthastrea","Acanthastrea echinata",2017,"ahb","North of Paradise",5,8,"Lobophyllidae","Mussidae","Massive",5026.54824574367,"HardCoral",6,6,179,0.0298333333333333
"Acanthastrea","Acanthastrea echinata",2016,"kz","No Mans Land",4,5,"Lobophyllidae","Mussidae","Massive",1963.49540849362,"HardCoral",6,6,90,0.015
"Acanthastrea","Acanthastrea echinata",2016,"kz","No Mans Land",1,5,"Lobophyllidae","Mussidae","Massive",1963.49540849362,"HardCoral",6,6,90,0.015
"Acanthastrea","Acanthastrea echinata",2016,"jsm","Trimodal",4,5,"Lobophyllidae","Mussidae","Massive",1963.49540849362,"HardCoral",7,7,165,0.0235714285714286
"Acanthastrea","Acanthastrea echinata",2016,"kz","Gnarly Tree",2,15,"Lobophyllidae","Mussidae","Massive",17671.4586764426,"HardCoral",6,6,137,0.0228333333333333
"Acanthastrea","Acanthastrea hemprichii",2015,"TB","Southeast",1,10,"Lobophyllidae","Mussidae","Massive",7853.98163397448,"HardCoral",5,6,152,0.0253333333333333
"Acropora","Acropora arborescent",1995,"AHB","North Reef",1,11,NA,"Acropora","Arborescent",9503.31777710913,"HardCoral",15,15,7493,0.499533333333333
"Acropora","Acropora arborescent",1995,"AHB","North Reef",3,3,NA,"Acropora","Arborescent",706.858347057703,"HardCoral",15,15,7493,0.499533333333333
