"","campaign","observer","site","transect","species","intercept_cm","GrowthForm","ln_area_cm2","ColonySA","ColonySAlwr","ColonySAupr","ColonyVol","ColonyVollwr","ColonyVolupr","Convexity","Convexitylwr","Convexityupr","ConvexSA","ConvexSAlwr","ConvexSAupr","ConvexVol","ConvexVollwr","ConvexVolupr","FracDim","FracDimlwr","FracDimupr","Packing","Packinglwr","Packingupr","Sphericity","Sphericitylwr","Sphericityupr","Vsa","Vsalwr","Vsaupr"
"1",1995,"AHB","North Reef",1,"Acropora arborescent",11,"Arborescent",4.55422419970315,9.06042704142383,8.33265128546528,9.78820279738238,10.4839967756912,10.0235201249057,10.9444734264768,-2.62273985148889,-3.80883251958919,-1.4366471833886,8.49667636015356,7.97146121927638,9.02189150103074,11.5970705258641,10.5955372462842,12.5986038054439,2.33240297525275,1.96059748964024,2.70420846086527,0.563750680576711,0.0959634953961853,1.03153786575724,-4.18628322447859,-6.37825922454136,-1.99430722441581,2.17652483557268,1.05654184180767,3.29650782933769
"3",1995,"AHB","North Reef",1,"Acropora tabular",394,"Tabular",11.7111373409208,11.0586821937037,10.2497853298071,11.8675790576003,14.4751402699199,13.8291269959126,15.1211535439271,-2.75871798643296,-4.42271464400145,-1.09472132886447,10.6592417055629,10.0754837597284,11.2429996513975,14.1363587541694,13.0231901410253,15.2495273673135,2.50065748014705,2.08740890896402,2.91390605133008,0.399440487747113,-0.120488328190394,0.919369303684621,-5.2401129704188,-7.67641632027704,-2.80380962056056,2.72632578692365,1.48150453002311,3.97114704382419
"4",1995,"AHB","North Reef",1,"Faviidae",8,"Massive",3.91730900985738,8.09624640251499,7.65433257677417,8.5381602282558,10.5519758375031,10.0763604473319,11.0275912276744,1.30367142686418,0.0785844954085473,2.52875835831981,8.10847451006999,7.78955782406918,8.42739119607081,11.0892529883735,10.4811104395701,11.6973955371768,1.85388878286915,1.62812420740312,2.07965335833517,-0.0122281075864978,-0.296273877101562,0.271817661928567,2.11369660871312,0.782703521640623,3.44468969578563,0.0623816815203922,-0.617684898723782,0.742448261764566
"5",1995,"AHB","North Reef",1,"Pocillopora damicornis",16,NA,5.30361331820722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1995,"AHB","North Reef",1,"Stylophora pistillata",11,NA,4.55422419970315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1995,"AHB","North Reef",2,"Acropora tabular",211,"Tabular",10.4621518021883,10.5730070719717,9.82393760811452,11.3220765358289,13.7631893624824,13.1501165544061,14.3762621705586,-2.60221592156046,-4.18136474795674,-1.02306709516418,10.1943243927297,9.65374218623892,10.7349065992204,13.4919739276851,12.4611371752545,14.5228106801157,2.48421881351489,2.10153481574952,2.86690281128026,0.378682678879213,-0.102791309686026,0.860156667444452,-4.90686589871245,-7.16297607236378,-2.65075572506112,2.60234744405151,1.44959530329935,3.75509958480367
"10",1995,"AHB","North Reef",2,"Faviidae",38,"Massive",7.0336078900807,9.37283676642468,8.80180516031605,9.94386837253331,12.3283389312448,11.7838842141329,12.8727936483566,0.913188755615871,-0.489214052381829,2.31559156361357,9.40660667250727,8.99450934308654,9.818704001928,13.0418897125807,12.2560609012643,13.827718523897,1.75688555332998,1.46515739136383,2.04861371529613,-0.0337699061354197,-0.400807782134529,0.33326796986369,2.42892246154836,0.709041625151398,4.14880329794533,-0.0914920454198375,-0.970259553828589,0.787275462988914
"13",1995,"AHB","North Reef",2,"Porites",6,"Massive",3.34194265444484,7.86054784686654,7.44166522546767,8.27943046826541,10.2240035863107,9.75971290891012,10.6882942637112,1.37576675534301,0.179849943073248,2.57168356761276,7.86879866386496,7.56650294542728,8.17109438230263,10.7287351052584,10.1522870961927,11.3051831143242,1.87179861654954,1.65780020400456,2.08579702909451,-0.00825081702596073,-0.27749298507144,0.260991351019518,2.05549604546528,0.793870269349155,3.31712182158141,0.090791589833487,-0.553831988939811,0.735415168606785
"14",1995,"AHB","North Reef",3,"Acropora arborescent",3,"Arborescent",1.95571902718882,7.82217830779755,7.31328990023696,8.33106671535815,9.00278818024984,8.58460656487769,9.42096979562199,-2.29713846342716,-3.37428786303538,-1.21998906381893,7.43195634317394,7.06470599926042,7.79920668708747,10.0093805418883,9.30907049227273,10.7096905915039,2.2641848920769,2.00420439678486,2.52416538736895,0.390221964176003,0.0631274246907805,0.717316503661226,-3.18848098753982,-4.72119373174742,-1.65576824333221,1.86388397345113,1.08074939178132,2.64701855512094
"16",1995,"AHB","North Reef",3,"Acropora tabular",200,"Tabular",10.3550702725984,10.5313678109026,9.78741191934371,11.2753237024616,13.7021503914158,13.0918544893443,14.3124462934872,-2.58879824779978,-4.16079433833715,-1.01680215726241,10.1544647983252,9.61757291206427,10.691356684586,13.4367277212843,12.412928044206,14.4605273983626,2.48280944766332,2.10273786754997,2.86288102777667,0.376903012217288,-0.101284162281884,0.85509018671646,-4.87829502654217,-7.11900371469383,-2.6375863383905,2.59171818520177,1.44683538327351,3.73660098713004
"20",1995,"AHB","North Reef",3,"Porites",7,"Massive",3.65026855498628,7.98685340634702,7.55567019735679,8.41803661533725,10.3997565457082,9.92945893764628,10.8700541537701,1.33713248889876,0.125743064927449,2.54852191287006,7.99723556397917,7.68606286002532,8.30840826793302,10.9219285374553,10.3285529957941,11.5153040791164,1.86220113914039,1.6419186124225,2.08248366585829,-0.0103821576618123,-0.287530685871557,0.266766370547933,2.08668441945796,0.788010703002819,3.3853581359131,0.0755673583807215,-0.587985744772647,0.73912046153409
"22",1995,"AHB","North Reef",4,"Acropora tabular",329,"Tabular",11.3505510309148,10.9184661587088,10.126874253352,11.7100580640655,14.2695976574099,13.6331943311718,14.9060009836479,-2.71353531591304,-4.35277873448362,-1.07429189734246,10.5250185195503,9.95374907194191,11.0962879671586,13.9503226956241,12.8609684122891,15.0396769789592,2.49591158200933,2.09150375395457,2.90031941006409,0.393447638773793,-0.115358193499108,0.902253471046694,-5.14390342420673,-7.52808625000124,-2.75972059841222,2.69053282392242,1.4723423789358,3.90872326890904
"23",1995,"AHB","North Reef",4,"Faviidae",38,"Massive",7.0336078900807,9.37283676642468,8.80180516031605,9.94386837253331,12.3283389312448,11.7838842141329,12.8727936483566,0.913188755615871,-0.489214052381829,2.31559156361357,9.40660667250727,8.99450934308654,9.818704001928,13.0418897125807,12.2560609012643,13.827718523897,1.75688555332998,1.46515739136383,2.04861371529613,-0.0337699061354197,-0.400807782134529,0.33326796986369,2.42892246154836,0.709041625151398,4.14880329794533,-0.0914920454198375,-0.970259553828589,0.787275462988914
"24",1995,"AHB","North Reef",4,"Pocillopora damicornis",11,NA,4.55422419970315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1995,"AHB","North Reef",5,"Acropora arborescent",37,"Arborescent",6.98027127032087,10.2164954397805,9.27873407765847,11.1542568019025,11.8669002280124,11.3569451582174,12.3768552978074,-2.92673166264696,-4.24027051051815,-1.61319281477577,9.49073282982842,8.81397702711912,10.1674886325377,13.0793883890017,11.7888820691912,14.3698947088121,2.39609354727951,1.91701078617103,2.87517630838798,0.725762609028884,0.123004486947255,1.32852073111051,-5.11786312648771,-7.94229136929209,-2.29343488368333,2.46841628752291,1.02528388143821,3.9115486936076
"28",1995,"AHB","North Reef",5,"Acropora tabular",582,"Tabular",12.491376418318,11.362082591181,10.5156610098307,12.2085041725313,14.9198947542151,14.2528322527907,15.5869572556394,-2.85648455211376,-4.5746996684597,-1.13826943576782,10.949674736196,10.3388362650727,11.5605132073194,14.538904826092,13.3740963320794,15.7037133201046,2.510926686386,2.07850751810474,2.94334585466726,0.412407854572124,-0.131640453954463,0.956456163098711,-5.44829183215113,-7.99761527012605,-2.89896839417622,2.80377484046349,1.50120633786279,4.1063433430642
"29",1995,"AHB","North Reef",6,"Acropora arborescent",187,"Arborescent",10.220652744754,11.7606133040141,10.5388683263948,12.9823582816334,13.7139932964457,13.1272660452421,14.3007205476493,-3.33276229790794,-4.84405041564437,-1.82147418017152,10.8184573442809,9.93675861320518,11.7001560753566,15.0592656144297,13.3779534187057,16.7405778101536,2.48116269214115,1.85699861278115,3.10532677150116,0.942155958503313,0.156863731591683,1.72744818541494,-6.36213999686844,-10.0418938870094,-2.68238610672745,2.85828491987556,0.978126661719205,4.73844317803191
"31",1995,"AHB","North Reef",6,"Acropora tabular",492,"Tabular",12.1553929575845,11.2314335138848,10.4011834888951,12.0616835388746,14.7283763400019,14.0704193538486,15.3863333261553,-2.81438470088477,-4.50914589207774,-1.1196235096918,10.8246096150425,10.2254416979085,11.4237775321764,14.3655620312138,13.2230081283237,15.5081159341039,2.50650460147498,2.08234714473951,2.93066205821044,0.406823898437804,-0.126829935186366,0.940477732061974,-5.35864667537467,-7.85926326493398,-2.85803008581536,2.77042403582851,1.4927421386942,4.04810593296282
"32",1995,"AHB","North Reef",7,"Acropora arborescent",30,"Arborescent",6.56082979706749,10.0166217283174,9.11538296085209,10.9178604957828,11.6278087988172,11.1269763677461,12.1286412298883,-2.87417424334815,-4.16421505959129,-1.58413342710502,9.31886950731204,8.66847102626501,9.96926798835907,12.8231091123651,11.5828635957014,14.0633546290287,2.38508202665124,1.92465789896243,2.84550615434005,0.69775222012192,0.118469463370956,1.27703497687288,-4.95680143428713,-7.67122786637995,-2.24237500219431,2.41795091027658,1.03102357088822,3.80487824966493
"34",1995,"AHB","North Reef",7,"Acropora tabular",220,"Tabular",10.5456906145816,10.605491613722,9.852430985393,11.358552242051,13.8108084352781,13.1955638087459,14.4260530618103,-2.61268361412464,-4.19742659593072,-1.02794063231856,10.2254205415407,9.68195802474393,10.7688830583374,13.5350738207258,12.4987446016802,14.5714030397714,2.48531831918985,2.10059531856892,2.87004131981078,0.38007107181647,-0.103968288813696,0.864110432446636,-4.9291552397341,-7.19728633695002,-2.66102414251817,2.61063977667255,1.45174558420025,3.76953396914485
"36",1995,"AHB","North Reef",8,"Acropora tabular",645,"Tabular",12.6969361585432,11.4420156638716,10.5856910556093,12.2983402721339,15.0370686037493,14.3644055738878,15.7097316336108,-2.88224187499881,-4.61488279492339,-1.14960095507422,11.0261914604402,10.4082062554059,11.6441766654746,14.6449585580443,13.4665219499599,15.8233951661288,2.5136321845185,2.07615376591199,2.95111060312501,0.415824203013483,-0.134589402853661,0.966237808880626,-5.50313808886621,-8.08228829304119,-2.92398788469123,2.82417936490675,1.50637097331906,4.14198775649443
"37",1995,"AHB","North Reef",8,"Faviidae",10,"Massive",4.36360804914986,8.27907259309594,7.81907942649901,8.73906575969288,10.8063767061755,10.3216451812627,11.2911082310883,1.24774866472334,-0.000819545446145042,2.49631687489283,8.29438579754217,7.96242176354032,8.62634983154403,11.3688987885986,10.7358762387895,12.0019213384078,1.83999651841841,1.60499558401692,2.0749974528199,-0.0153132044807748,-0.310979701808989,0.280353292847439,2.1588415067758,0.773395546096139,3.54428746745547,0.0403447398965975,-0.66754435865978,0.748233838452975
"38",1995,"AHB","North Reef",9,"Acropora arborescent",20,"Arborescent",5.74989922717327,9.63019426923383,8.79934055971024,10.4610479787574,11.1655594474829,10.6817250704356,11.6493938245303,-2.77256193101869,-4.01881927373462,-1.52630458830276,8.98659616058954,8.38699258143347,9.58619973974561,12.3276294969541,11.1842448297165,13.4710141641917,2.36379281404854,1.93932694744997,2.78825868064711,0.643598107837558,0.109556248250009,1.17763996742511,-4.64541150703155,-7.14784632425094,-2.14297668981216,2.32038326439534,1.04177234976356,3.59899417902712
"40",1995,"AHB","North Reef",9,"Acropora tabular",370,"Tabular",11.5854415400135,11.0098046674924,10.206942894032,11.8126664409529,14.4034907297596,13.7608361444744,15.0461453150448,-2.74296788222618,-4.39831325191529,-1.08762251253707,10.6124532102762,10.0330506181995,11.1918558023528,14.0715089505923,12.966645565903,15.1763723352816,2.49900312042542,2.08883775133033,2.9091684895205,0.397351456825763,-0.11869822746395,0.913401141115476,-5.20657554642217,-7.6247019052417,-2.78844918760263,2.71384881531813,1.47831503275152,3.94938259788474
"41",1995,"AHB","North Reef",9,"Faviidae",32,"Massive",6.68990767932711,9.23204013747928,8.67552159464704,9.78855868031152,12.1324217894172,11.5960963531782,12.6687472256561,0.956255541428807,-0.425207919429658,2.33771900228727,9.26343417366668,8.86181051077148,9.66505783656189,12.8265311480045,12.0606745819038,13.5923877141052,1.76758415180138,1.48327041178461,2.05189789181816,-0.0313940362378747,-0.389103454998851,0.326315382523101,2.3941558373513,0.717986660938584,4.07032501376402,-0.0745211339599561,-0.930954312152411,0.781912044232499
"42",1995,"AHB","North Reef",9,"Pocillopora damicornis",42,NA,7.23377450128316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1995,"AHB","North Reef",10,"Acropora tabular",297,"Tabular",11.145899808179,10.8388863682048,10.0571046399931,11.6206680964165,14.1529416840486,13.5219574462717,14.7839259218255,-2.68789183330768,-4.31317680017253,-1.06260686644282,10.4488399781726,9.88465025742944,11.0130296989158,13.8447376919849,12.7688837469188,14.9205916370511,2.49321804143412,2.09382202869128,2.89261405417697,0.390046389652491,-0.112453825656358,0.89254660496134,-5.08929957285466,-7.44393528515683,-2.73466386055249,2.67021848186263,1.46712503822334,3.87331192550192
"46",1995,"AHB","North Reef",10,"Faviidae",9,"Massive",4.15288073022646,8.19274824646239,7.74131319871612,8.64418329420866,10.6862572161759,10.2058649173667,11.1666495149852,1.27415350250075,0.0367622418202083,2.51154476318129,8.2066047724503,7.88081689032077,8.53239265457983,11.2368594953412,10.6156142557397,11.8581047349427,1.84655597605497,1.61592720644346,2.07718474566649,-0.0138565260210126,-0.304022182884542,0.276309130842516,2.13752561206337,0.77785571079865,3.49719551332809,0.0507498387581493,-0.643969066242191,0.74546874375849
"48",1995,"AHB","North Reef",10,"Pocillopora damicornis",3,NA,1.95571902718882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1995,"AHB","North Reef",10,"Porites",23,"Massive",6.02942485089438,8.96147365887354,8.43268653291057,9.4902607848365,11.7559311620503,11.2348881524405,12.27697417166,1.03901624862438,-0.303082840240988,2.38111533748975,8.98830202643675,8.60669134130079,9.36991271157271,12.4126802703847,11.6849864716709,13.1403740690985,1.78814346587095,1.51799712952403,2.05828980221786,-0.0268283676091645,-0.366713063119695,0.313056327901366,2.32734540905861,0.734700037509554,3.91999078060767,-0.0419084230816958,-0.855665385376184,0.771848539212792
"51",1995,"AHB","North Reef",11,"Acropora arborescent",3,"Arborescent",1.95571902718882,7.82217830779755,7.31328990023696,8.33106671535815,9.00278818024984,8.58460656487769,9.42096979562199,-2.29713846342716,-3.37428786303538,-1.21998906381893,7.43195634317394,7.06470599926042,7.79920668708747,10.0093805418883,9.30907049227273,10.7096905915039,2.2641848920769,2.00420439678486,2.52416538736895,0.390221964176003,0.0631274246907805,0.717316503661226,-3.18848098753982,-4.72119373174742,-1.65576824333221,1.86388397345113,1.08074939178132,2.64701855512094
