Site,X,Y
Cooks Path,145.452334,-14.658322
Corner Beach,145.441885,-14.675028
Easter Point,145.475682,-14.677319
Gnarly Tree,145.467862,-14.655203
Horseshoe,145.443914,-14.687517
Lagoon 1,145.454859,-14.686917
Lagoon 2,145.446896,-14.697687
Lizard Head,145.472182,-14.686546
No Mans Land,145.478329,-14.671142
North of Paradise,145.474991,-14.661631
North Reef 1,145.454909,-14.64538
North Reef 2,145.454801,-14.645238
Mermaid Cove,145.453964,-14.645953
Osprey,145.442852,-14.668037
Resort,145.447471,-14.66408
South Island,145.460054,-14.703997
Southeast,145.463386,-14.695957
Trimodal,145.447474,-14.699232
Turtle Beach,145.451383,-14.652682
Vickis,145.440032,-14.684411
Washing Machine,145.459789,-14.648667
