"SpecimenID","ScanID","ScanIDwAlternate","GrowthForm","GrowthFormVer","GrowthFormWal","Whole.","Quality","DamageLevel","Species","RawSA","WholeSA","ImputedSA","ImputedSAPercent","WholeVol","ColonyVolCull","OuterSACull","OuterSAScaled","ColonyVolCullScaled","AttachSA","AttachPlanarAreaGrid","ColonyPlanarAreaGrid","WholeWeight","WholePorosity","CenterofMassToAttachDist","ConvexVolCull","ConvexSACull","IntersistalVol","AttachAreaAHull","AttachPerimeterAHull","AttachMaximumLinearDimension","EllipseAttachArea","EllipseAttachAreaCull","EllipseAttachPerimeter","EllipseColonyArea","EllipseColonyPerimeter","ColonyXLength","ColonyYLength","ColonyHeight","CSFone","CSFtwo","CSFthree","CSFfour","CSFfive","CSFsix","CSFseven","CSFeight","CSFnine","CSFten","CSFeleven","CSFtwelve","meanCSF","sdCSF","ColonySA","ColonyVol","ColonySA2ndMomentVert","ColonyVol2ndMomentVert","ColonySARotated","ColonyVolRotated","ColonySA2ndMomentRotated","ColonyVol2ndMomentRotated","ColonySAScaled","ColonyVolScaled","ColonySA2ndMomentVertScaled","ColonyVol2ndMomentVertScaled","OuterSA","OuterVol","OuterSA2ndMomentVert","OuterVol2ndMomentVert","OuterSARotated","OuterVolRotated","OuterSA2ndMomentRotated","OuterVol2ndMomentRotated","OuterVolScaled","OuterSA2ndMomentVertScaled","OuterVol2ndMomentVertScaled","OuterSARotatedScaled","OuterVolRotatedScaled","OuterSA2ndMomentRotatedScaled","OuterVol2ndMomentRotatedScaled","ConvexVol","ConvexSA","ConvexVolScaled","ConvexSAScaled","BoundingBoxSA","BoundingBoxVol","BoundingBoxScaledSA","BoundingBoxScaledVol","FractalDimension","FractalDimensionRotated","FracDimTrim","FDIntsTrim","FDFit","Method","NoncoralSubstrateEyeball","Attachment.point.","ZCull.","Collection.Location","Expedition.Collector","Depth","Other.data","Photos","Notes","PlanarArea","Sphericity","Packing","Convexity","Vvol","Vsa"
1,"S9MaGret","S9MaGret","Massive","Massive","","Y","High","None","Gret",32311.96815,32575.91371,263.9455558,0.81024759,428836.8088,25377.8763,25377.8763,5.510401554,1,5613.077117,5542,8539,524,"0.995682297",16.49392481,430613.088,29585.79914,13131.2075,5553.783601,290.0088068,96.76620503,6130.016715,6329.199616,277.6753508,8957.588595,336.080016,101.7874,112.0488,69.31594118,1.59520878,1.59672254,1.598652138,1.683442871,1.77089005,1.718931795,1.701022297,1.825725741,1.813742773,1.867455551,1.865984492,1.680450087,1.778589103,0.117246201,30929.50122,420517.9154,1144481.49,10636328.94,25834.63065,5.15e-10,1036023.869,118.8038371,5.510401554,1,2.721599837,0.337607762,25316.42383,436063.4804,1108046.797,10856082.24,25639.66264,2.34e-11,1047702.703,130.1929063,0.979032389,2.254440933,0.284659047,3.13e+11,18.40681323,4.47e+16,1.94e+16,433649.1229,29650.55312,0.964660504,5.035002435,52470.95399,790989.1992,9.348227907,1.880988111,2.251604273,1.914028377,2.251604273,5.388395418,0.998811809,"LZ","None","Y","N","Maldives","Matthai Gardiner","","","Y","",85.39,0.877608612503948,1.04313403850592,0.96971928038921,0.337607762,2.721599837
2,"S99CoAval","S99CoAval (var)","Corymbose","Corymbose","Corymbose","Y","Medium","Very few branches missing","Aval",69277.75291,91776.02573,22498.27282,24.51432456,332410.3744,86444.20545,86444.20545,18.83945141,1,2213.376999,2044,12227,410,"0.995641642",51.14399697,975099.9137,50760.58808,698820.2857,2159.491617,183.4515303,64.196805,2641.823888,3616.371914,182.5731008,15664.19459,446.2707912,129.2094,154.3562,105.1027135,6.939880114,9.079997527,9.512558957,9.339229939,9.820862733,8.240540463,7.522820651,7.4581896,6.506369696,6.114002688,5.840190619,5.985823472,15.91333604,1.820486214,90436.84882,328252.308,5902009.685,12753666.94,90436.84882,-328252.308,5310415.145,-10762682.38,19.00524893,1,17.9801011,0.563237229,88223.47161,329413.5258,5847899.751,12682219.04,88223.47161,327190.1353,5266269.335,10653438.36,0.866805179,0.543106087,-0.010084129,18.58021246,1,16.09544044,0.472522902,1027072.594,52366.75887,2.768011856,10.23902139,105519.9722,2308056.859,22.17495817,7.031349979,2.439864657,2.262864474,2.439864657,5.848070047,0.999228013,"LZ","Minor","Y","MAYBE","GBR, Australia","Savvile Kent","","","Y","",122.27,0.254454749763402,1.72698961653343,0.319599909410104,0.563237229,17.9801011
4,"S97CoAval","S97CoAval (var)","Corymbose","Corymbose","Corymbose","Y","Medium","None","Aval",85694.5517,102672.3292,16977.7775,16.53588424,594218.5503,67168.76204,67168.76204,13.91913879,1,7479.743314,7057,14229,701,"0.995831447",32.36142328,761078.4571,47276.52355,494434.4756,7392.963737,337.8273405,113.8365217,7881.568243,11361.29912,315.6658815,17888.43246,474.8409781,144.2505,157.8938,80.02995773,0.518568932,0.50460842,0.508110243,0.487119315,0.519765619,0.611368061,0.64936888,0.619509592,0.547938772,0.475578991,0.434458374,0.468786207,1.629781562,0.211965111,82538.37494,436365.6752,3991379.679,11544068.03,82538.37494,-436365.6752,3207328.344,-8498714.697,14.34681593,1,9.146869028,0.348785243,75058.63138,453215.7646,3862506.688,11565918.37,75058.63138,432714.8382,3169557.157,8353175.097,0.809406412,2.451685424,0.04537744,13.11996821,1,7.324817356,0.255220684,930800.1508,50744.96796,1.724642297,7.740896648,102458.0141,2144826.7,17.80924655,4.91520489,2.44037755,2.282682094,2.44037755,5.802566467,0.999389423,"LZ","Some","Y","MAYBE","Mahe, Seychelles","B.R.Rosen","","Reef margins w/o surge channel","Y","",142.29,0.337076594886626,1.62653319645529,0.46880705253964,0.348785243,9.146869028
5,"S96CoAval","S96CoAval (var)","Corymbose","Corymbose","Corymbose","Y","Medium","Very few branches missing","Aval",21442.73443,22982.863,1540.128577,6.701204181,73223.90646,18832.24497,18832.24497,12.24857176,1,1439.092134,1306,2931,122,"0.994112641",28.38084124,167786.6406,15975.69244,117948.4641,1395.159752,155.338318,59.66166816,1902.71746,1826.633235,157.2870788,4074.203614,230.1514931,61.8659,83.8497,76.7945597,3.369253535,4.22838686,4.821107082,5.54322349,5.723534104,6.007498796,6.111582587,6.608808873,6.050329851,5.322187965,4.121849764,3.381223839,6.538915116,1.549469864,21547.13214,70236.00992,925849.6778,1562031.928,21547.13214,-70236.05638,806806.7731,-1305814.137,12.65754813,1,13.18198,0.539026518,20108.04012,71033.95723,910093.6546,1549707.242,20108.04012,69548.41389,796728.9535,1282476.862,0.761753292,1.863516848,-0.001030935,11.88990149,1,11.45574585,0.448400992,188184.2945,17427.43222,1.438065037,6.854048466,34704.80404,433069.5597,20.38683035,6.165919166,2.297163313,2.192712485,2.297163313,5.186293602,0.999096912,"LZ","Some","N","Y","Capricorn Is. GBR","Savvile Kent","","","Y","",29.31,0.382062609084287,1.23639167652433,0.37322992392439,0.539026518,13.18198
6,"S95CoAval","S95CoAval (var)","Corymbose","Corymbose","Corymbose","Y","Medium","None","Aval",12013.86391,14745.55757,2731.693664,18.52553659,39609.58984,7414.317512,7414.317512,11.35254055,1,76.14800489,20,2621,45,"0.995985553",43.41805201,50558.57189,8924.532491,64293.54779,68.87111454,30.07369635,12.28959979,68.97395296,3331.475508,29.44747673,4012.318129,226.163001,64.7658,78.8787,27.0478472,0.145800497,0.181306479,0.23881251,0.318046661,0.321790589,0.233462862,0.190196731,0.192592471,0.194978857,0.183841379,0.187134236,0.162841738,613.827786,52.06164697,14697.07576,39488.01606,402726.2596,673422.0421,14697.07576,-39488.01606,628841.1022,-1017855.865,12.67420488,1,10.1986957,0.500802984,14620.92807,38655.54633,400876.3603,663213.0198,14620.92807,39460.18963,621529.7888,1004798.247,0.995206531,-0.000838475,-0.035585988,12.61446478,1,15.75080593,0.747939801,103781.5638,11655.26288,2.081555102,8.768226519,24986.89789,262636.8234,21.54776013,6.651051372,2.277543042,2.1886586,2.277543042,4.810527714,0.999085466,"LZ","None","N","N","Remire, Seychelles","B.R.Rosen","","","Y","",26.21,0.381560493115978,1.26098191961158,0.380491626972381,0.500802984,10.1986957
8,"S93CoAval","S93CoAval","Corymbose","Corymbose","Corymbose","Y","Medium","Lots of branches missing","Aval",67234.99419,70780.65539,3545.661199,5.009364746,292670,37620.67561,37620.67561,14.29182008,1,2873.64516,2173,12894,423,"0.994892884",54.80360357,467646.8382,40150.4687,577116.2298,2800.766939,251.6622374,97.29387542,4042.971981,14992.99483,226.8711716,16842.98013,460.5164172,141.1818,151.8974,59.57536449,0.111210534,0.10923912,0.119716095,0.136206239,0.131301544,0.130291321,0.137887704,0.119941696,0.111805874,0.118466577,0.123859448,0.109354545,7.634883273,2.11008155,71833.10831,314289.5786,3019502.171,8656436.839,71833.10831,-314289.5786,4087247.401,-9399854.452,15.53953452,1,9.607388777,0.405103371,68959.4631,289943.3212,2946473.915,8352822.683,68959.4631,312907.2065,4052695.048,9295240.126,0.893854312,0.02585834,0.013992352,14.96178792,1,12.95174724,0.437562263,891405.8085,50297.11243,1.722058619,8.161364923,90531.14128,1742984.455,19.57378483,5.541639417,2.394511474,2.234101324,2.394511474,5.750632649,0.998894154,"LZ","None","Y","N","Thursday Is., Torres Straits","Savvile Kent","","","Y","",128.94,0.311204679652576,1.42817559178914,0.352577440715656,0.405103371,9.607388777
9,"S92CoAval","S92CoAval","Corymbose","Corymbose","Corymbose","Y","Medium","Very few branches missing","Aval",27644.59681,33300.45615,5655.859338,16.98432992,97661.77878,29116.4275,29116.4275,14.49743644,1,3292.5948,3214,4937,118,"0.99573056",16.72783102,230496.6108,20163.89215,137237.7391,3231.021251,222.5019703,76.4775015,3487.403954,3569.935345,209.4689618,6456.600932,286.4297893,83.1442,98.874,50.84282017,1.116103642,1.161620599,1.187063309,1.234216904,1.362993197,1.353971376,1.180032309,1.037876452,1.027363245,1.103956438,1.276187627,1.143032842,1.295129821,0.111441143,32528.27889,98391.98387,784542.0151,1247710.049,32528.27889,-98391.98387,762803.3038,-1204317.422,15.26234524,1,7.973637529,0.274684434,29235.68362,97529.93606,768115.519,1215462.2,29235.68362,96796.06411,748038.2722,1171497.45,0.748572295,1.052736806,0.001892835,13.86781761,1,7.727982321,0.263591307,235629.723,20385.55356,2.06505256,8.683064151,35192.45896,423438.5915,16.50610481,4.301425068,2.367917155,2.338828931,2.367917155,5.244293164,0.999209178,"LZ","None","Y","N","Christmas Islands, indian Ocean","C.W. Audruy?","","","Y","",49.37,0.316856668166722,1.59565345107067,0.417570341369879,0.274684434,7.973637529
11,"S90ArAabr","S90ArAabr","Arborescent","Branching-open","Arborescent-table","Y","High","Some branches missing","Aabr",339107.5073,372987.5082,33880.00089,9.083414361,2416314.149,352667.2316,352667.2316,19.78603526,1,9364.277692,8300,56892,3255,"0.995239954",81.09467764,9148993.245,233801.681,7227017.823,9209.223023,550.6713707,170.7922435,11459.61754,20030.16204,409.6171577,83730.17793,1028.347487,308.014,346.116,208.804212,3.831963121,4.976499587,5.788808943,4.130701821,3.669180586,3.803346501,3.901579633,4.054505694,4.151560662,3.170660237,2.979999991,3.097660377,8.514143111,2.725981186,375886.312,2572732.15,39946246.48,153079859.4,375886.312,-2572732.15,40396042.2,-160353469.6,20.01981817,1,15.52678015,0.434235464,366519.4858,2594976.753,39679173.83,152823145.6,366519.4858,2631248.955,40208260.73,160939245.8,0.885522683,0.147793309,-0.053319761,19.230435,1,15.28105528,0.443043165,9799749.974,240917.1096,3.107745015,11.46292681,510359.6245,24213792.11,27.18190728,9.411703471,2.464539457,2.185781128,2.464539457,6.809056731,0.998732226,"LZ","Minor","Y","N","","Challenger","","","Y","",568.92,0.241559429857128,1.56023087203766,0.262530386675761,0.434235464,15.52678015
12,"S8MaGpec","S8MaGpec","Massive","Submassive","","Y","High","Some edge material missing","Gpec",46598.32512,46611.59886,13.27373265,0.028477317,367781.848,34172.84793,34172.84793,5.99315046,1,6937.54816,6839,8010,607,"0.994168075",19.86381771,486459.8992,33110.46952,53742.66492,6849.297439,311.9247053,106.8278774,6927.690594,6950.119693,295.2499626,8101.122606,319.1189575,100.0223,103.1237,87.23424088,1.783167734,1.696968846,1.696968846,1.696968846,1.696968846,1.696968846,1.544780718,1.544780718,1.544780718,1.544780718,1.499838298,1.499838298,1.536774686,0.224089833,41142.40412,436518.4954,1508808.706,10252304.65,34735.02344,3.29e-10,1465301.651,-2696.781046,7.149701317,1,3.45645997,0.309612132,34204.85611,433127.6501,1488066.816,10082601.39,34537.08997,7.868548454,1444952.221,2468.161049,0.748543691,-0.330745741,-0.033316211,8730.169174,1,183636.4393,157.7056779,490261.1604,33215.80139,1.106080596,5.736003719,56112.48547,900822.3914,9.751192714,2.063652287,2.278022747,1.908883193,2.278022747,5.504315184,0.99942971,"LZ","Minor","Y","N","Red Sea","Matthai Gardiner","","","Y","",80.1,0.676388515708854,1.23863951487819,0.890379517406291,0.309612132,3.45645997
13,"S89ArAabr","S89ArAabr ","Arborescent","Branching-open","Arborescent-table","Y","High","Very few branches missing","Aabr",234168.4743,253256.9497,19088.47537,7.53719706,1547288.983,186861.4938,186861.4938,20.9836508,1,5008.817487,4754,28265,1641.5,"0.99625128",78.60223029,5880226.66,171208.9948,5153177.208,4919.621076,298.1107017,102.6844094,5870.63954,5603.582852,275.0086811,51580.08089,808.3955491,237.902,276.054,203.6236797,12.64813737,11.65877583,12.80938682,13.88513643,18.25594702,23.25963376,20.78841166,16.55667816,13.90633255,13.3083417,14.31933253,13.83895968,17.49971938,3.591801996,194765.527,882132.6988,18913969.71,46773529.31,194765.527,-882132.6988,16635453.99,-40447112.43,21.1749703,1,21.44118424,0.552868161,189756.7095,893811.4891,18796684.77,46609831.39,189756.7095,879701.7399,16537201.33,40143358.89,0.864943933,4.893053062,0.063901734,20.66839915,1,18.7986457,0.476247936,6035309.907,174098.4276,6.532135258,18.35004447,350404.3819,13995644.73,38.09195745,15.86327703,2.367873944,2.106333282,2.367873944,6.40241113,0.99838724,"LZ","Mounted on plinth","Y","MAYBE","Tahiti","Challenger","","","Y","",282.65,0.228381706983261,1.1187092823577,0.146161955623334,0.552868161,21.44118424
