site,Lat,Long
Cooks Path,-14.658322,145.452334
Corner Beach,-14.675028,145.441885
Easter Point,-14.677319,145.475682
Gnarly Tree,-14.655203,145.467862
Horseshoe,-14.687517,145.443914
Lagoon 1,-14.686917,145.454859
Lagoon 2,-14.697687,145.446896
Lizard Head,-14.686546,145.472182
Mermaid Cove,-14.645953,145.453964
No Mans Land,-14.671142,145.478329
North of Paradise,-14.661631,145.474991
North Reef,-14.64538,145.454909
North 2,-14.645238,145.454801
North 3,-14.645953,145.453964
Osprey,-14.668037,145.442852
Resort,-14.66408,145.447471
South Island,-14.703997,145.460054
Southeast,-14.695957,145.463386
Trimodal,-14.699232,145.447474
Turtle Beach,-14.652682,145.451383
Vickies,-14.684411,145.440032
Washing Machine,-14.648667,145.459789
