"campaign","observer","site","transect","species","intercept_cm","genus"
1995,"AHB","North Reef",1,"Acropora arborescent",11,"Acropora"
1995,"AHB","North Reef",1,"Acropora other",122,"Acropora"
1995,"AHB","North Reef",1,"Acropora tabular",394,"Acropora"
1995,"AHB","North Reef",1,"Faviidae",8,"Faviidae"
1995,"AHB","North Reef",1,"Pocillopora damicornis",16,"Pocillopora"
1995,"AHB","North Reef",1,"Pocillopora others",34,"Pocillopora"
1995,"AHB","North Reef",1,"Stylophora pistillata",11,"Stylophora"
1995,"AHB","North Reef",2,"Acropora other",143,"Acropora"
1995,"AHB","North Reef",2,"Acropora tabular",211,"Acropora"
1995,"AHB","North Reef",2,"Faviidae",38,"Faviidae"
1995,"AHB","North Reef",2,"Montipora",6,"Montipora"
1995,"AHB","North Reef",2,"Pocillopora others",82,"Pocillopora"
1995,"AHB","North Reef",2,"Porites",6,"Porites"
1995,"AHB","North Reef",3,"Acropora arborescent",3,"Acropora"
1995,"AHB","North Reef",3,"Acropora other",147,"Acropora"
1995,"AHB","North Reef",3,"Acropora tabular",200,"Acropora"
1995,"AHB","North Reef",3,"Isoporan",18,"Isoporan"
1995,"AHB","North Reef",3,"Montipora",22,"Montipora"
1995,"AHB","North Reef",3,"Pocillopora others",43,"Pocillopora"
1995,"AHB","North Reef",3,"Porites",7,"Porites"
1995,"AHB","North Reef",4,"Acropora other",78,"Acropora"
1995,"AHB","North Reef",4,"Acropora tabular",329,"Acropora"
1995,"AHB","North Reef",4,"Faviidae",38,"Faviidae"
1995,"AHB","North Reef",4,"Pocillopora damicornis",11,"Pocillopora"
1995,"AHB","North Reef",4,"Pocillopora others",29,"Pocillopora"
1995,"AHB","North Reef",5,"Acropora arborescent",37,"Acropora"
1995,"AHB","North Reef",5,"Acropora other",15,"Acropora"
1995,"AHB","North Reef",5,"Acropora tabular",582,"Acropora"
1995,"AHB","North Reef",6,"Acropora arborescent",187,"Acropora"
1995,"AHB","North Reef",6,"Acropora other",230,"Acropora"
1995,"AHB","North Reef",6,"Acropora tabular",492,"Acropora"
1995,"AHB","North Reef",7,"Acropora arborescent",30,"Acropora"
1995,"AHB","North Reef",7,"Acropora other",210,"Acropora"
1995,"AHB","North Reef",7,"Acropora tabular",220,"Acropora"
1995,"AHB","North Reef",8,"Acropora other",103,"Acropora"
1995,"AHB","North Reef",8,"Acropora tabular",645,"Acropora"
1995,"AHB","North Reef",8,"Faviidae",10,"Faviidae"
1995,"AHB","North Reef",9,"Acropora arborescent",20,"Acropora"
1995,"AHB","North Reef",9,"Acropora other",122,"Acropora"
1995,"AHB","North Reef",9,"Acropora tabular",370,"Acropora"
1995,"AHB","North Reef",9,"Faviidae",32,"Faviidae"
1995,"AHB","North Reef",9,"Pocillopora damicornis",42,"Pocillopora"
1995,"AHB","North Reef",9,"Pocillopora others",15,"Pocillopora"
1995,"AHB","North Reef",10,"Acropora other",104,"Acropora"
1995,"AHB","North Reef",10,"Acropora tabular",297,"Acropora"
1995,"AHB","North Reef",10,"Faviidae",9,"Faviidae"
1995,"AHB","North Reef",10,"Montipora",15,"Montipora"
1995,"AHB","North Reef",10,"Pocillopora damicornis",3,"Pocillopora"
1995,"AHB","North Reef",10,"Pocillopora others",30,"Pocillopora"
1995,"AHB","North Reef",10,"Porites",23,"Porites"
1995,"AHB","North Reef",11,"Acropora arborescent",3,"Acropora"
1995,"AHB","North Reef",11,"Acropora other",86,"Acropora"
1995,"AHB","North Reef",11,"Acropora tabular",155,"Acropora"
1995,"AHB","North Reef",11,"Faviidae",6,"Faviidae"
1995,"AHB","North Reef",11,"Isoporan",2,"Isoporan"
1995,"AHB","North Reef",11,"Montipora",20,"Montipora"
1995,"AHB","North Reef",11,"Pocillopora others",23,"Pocillopora"
1995,"AHB","North Reef",12,"Acropora other",88,"Acropora"
1995,"AHB","North Reef",12,"Acropora tabular",226,"Acropora"
1995,"AHB","North Reef",12,"Faviidae",15,"Faviidae"
1995,"AHB","North Reef",12,"Montipora",21,"Montipora"
1995,"AHB","North Reef",12,"other hard coral",18,"other"
1995,"AHB","North Reef",12,"Pocillopora others",25,"Pocillopora"
1995,"AHB","North Reef",12,"Porites",65,"Porites"
1995,"AHB","North Reef",13,"Acropora arborescent",12,"Acropora"
1995,"AHB","North Reef",13,"Acropora other",60,"Acropora"
1995,"AHB","North Reef",13,"Acropora tabular",85,"Acropora"
1995,"AHB","North Reef",13,"Faviidae",41,"Faviidae"
1995,"AHB","North Reef",13,"Isoporan",20,"Isoporan"
1995,"AHB","North Reef",13,"Montipora",23,"Montipora"
1995,"AHB","North Reef",13,"Pocillopora damicornis",16,"Pocillopora"
1995,"AHB","North Reef",13,"Pocillopora others",72,"Pocillopora"
1995,"AHB","North Reef",13,"Porites",35,"Porites"
1995,"AHB","North Reef",14,"Acropora other",91,"Acropora"
1995,"AHB","North Reef",14,"Acropora tabular",60,"Acropora"
1995,"AHB","North Reef",14,"Faviidae",39,"Faviidae"
1995,"AHB","North Reef",14,"Montipora",12,"Montipora"
1995,"AHB","North Reef",14,"other hard coral",16,"other"
1995,"AHB","North Reef",14,"Pocillopora damicornis",15,"Pocillopora"
1995,"AHB","North Reef",14,"Porites",20,"Porites"
1995,"AHB","North Reef",15,"Acropora arborescent",40,"Acropora"
1995,"AHB","North Reef",15,"Acropora other",95,"Acropora"
1995,"AHB","North Reef",15,"Acropora tabular",80,"Acropora"
1995,"AHB","North Reef",15,"Faviidae",3,"Faviidae"
1995,"AHB","North Reef",15,"Mussidae",4,"Mussidae"
1995,"AHB","North Reef",15,"other hard coral",5,"other"
1995,"AHB","North Reef",15,"Pocillopora damicornis",14,"Pocillopora"
1995,"AHB","North Reef",15,"Pocillopora others",26,"Pocillopora"
1995,"AHB","North Reef",15,"Porites",6,"Porites"
1995,"AHB","South Island",1,"Acropora arborescent",9,"Acropora"
1995,"AHB","South Island",1,"Acropora other",107,"Acropora"
